,Title,ECR%,EPP%,Greens/EFA%,EFD/IDG%,NI%,REG%,S&D%,The Left%,General Majority,Left Majority,Right Majority,Consensus,Summary text,EP
5200,"""""Certain aspects of railway safety and connectivity with regard to the Channel Tunnel""""",1.032,0.945,0.946,0.849,0.649,0.935,0.922,0.951,1,0,0,0,"PURPOSE: to establish interim measures to ensure the continuity of cross-border rail services with the United Kingdom after the end of the transition period. PROPOSED ACT: Regulation of the European Parliament and of the Council. ROLE OF THE EUROPEAN PARLIAMENT: the European Parliament decides in accordance with the ordinary legislative procedure and on an equal footing with the Council. BACKGROUND: the Treaty between France and the United Kingdom of Great Britain and Northern Ireland concerning the construction and operation by private concessionaries of a Channel fixed link, signed in Canterbury on 12 February 1986, established an intergovernmental committee to supervise all matters concerning the construction and operation of the Channel Fixed Link. After the end of the transition period set out in the withdrawal agreement, unless otherwise provided, EU law will no longer be applicable to the part of the Channel Fixed Link under the jurisdiction of the United Kingdom and, as regards the part of the Channel Fixed Link under French jurisdiction, the Intergovernmental Commission will no longer be a national safety authority under Union law. The safety authorisations for the Channel Fixed Link infrastructure manager and safety certificates for railway undertakings operating through the Fixed Link issued by the Intergovernmental Commission will no longer be valid. By Decision (EU) 2020/1531 of the European Parliament and of the Council, France was empowered to negotiate, sign and conclude an international agreement with the United Kingdom regarding the application of the railway safety and interoperability rules of the Union to the Channel Fixed Link, with the aim of maintaining a unified safety regime. However, it is unlikely that such agreement will enter into force by the end of the transition period. In the light of the economic importance of the Channel Fixed Link to the EU, it is essential that the Channel Fixed Link continue to operate after 1 January 2021. CONTENT: in view of the end of the transitional period referred to in the withdrawal agreement, the proposed Regulation lays down transitional provisions for certain safety certificates and safety approvals issued under Directive 2004/49/EC and for certain licences of railway undertakings issued under Directive 2012/34/EU. In concrete terms, the proposal: - extends the validity of safety authorisations of the infrastructure manager by two months and the validity of safety certificates and licences of railway undertakings by nine months; - also extends by nine months the validity of the operating licences issued by the United Kingdom under Directive 2012/34/EU in order to allow railway undertakings to continue to operate up to the Calais-Fréthun border-crossing station and thus ensure connectivity between the Union and the United Kingdom; - provides that such authorisations, certificates and licences are subject to Directive (EU) 2016/798 and Directive 2012/34/EU respectively and requires their holders of to cooperate with the French National Safety Authority and licensing authority and provide the necessary information; the French National Safety Authority and licensing authority must monitor that the holders of these authorisations, certificates and licences comply with EU law; - confers implementing powers on the Commission to withdraw the benefit conferred on the holders of the approvals/certificates and licences in question, where compliance with EU requirements is not ensured.",EP9

9885,"""""Visa Facilitation Agreement between the EU and Cabo Verde""""",0.935,0.951,0.041,0.315,0.456,0.935,0.903,0.244,1,0,0,0,"PURPOSE: to conclude the Agreement between the European Union and the Republic of Cabo Verde amending the Agreement between the European Union and the Republic of Cape Verde on the facilitation of the issuance of short-stay visas to the citizens of the Republic of Cape Verde and the European Union. PROPOSED ACT: Council Decision. ROLE OF THE EUROPEAN PARLIAMENT: Council may adopt the act only if Parliament has given its consent to the act. BACKGROUND: the Special Partnership between the EU and Cabo Verde was approved by the Council of the European Union on 19 November 2007. One of its objectives is to increase mobility and people-to-people contacts between citizens of the Union and Cabo Verde, as well as to strengthen cooperation in the fight against illegal immigration. On 1 December 2014, the Agreement between the European Union and the Republic of Cape Verde on the facilitation of issuance of short-stay visas to citizens of the Republic of Cape Verde and the European Union entered into force. After almost 5 years of implementation of these Agreements and in light of the supervened changes of both the EU and Cabo Verde’s domestic legislation related to visas, namely the revision of the EU’s Visa Code 3 and Cabo Verde decision to exempt EU citizens from the visa requirement for stays up to 30 days, the Joint Committee set up by the existing agreement explored the need to amend certain rules thereby established, with a view to adapt it to the changed circumstances. On that basis, the Commission presented on 13 September 2019, a recommendation to the Council with a view to obtaining directives to negotiate an Agreement amending the existing Visa Facilitation Agreement with the Republic of Cabo Verde. The Council having given its authorisation, the chief negotiators reached an agreement in principle on the draft text of the agreement, initialled on 24 July 2020 through an exchange of e-mails. CONTENT: the Commission proposes that the Council approve the conclusion of the Agreement between the European Union and the Republic of Cabo Verde amending the Agreement between the European Union and the Republic of Cape Verde on the facilitation of the issuance of short-stay visas to the citizens of the Republic of Cape Verde and the European Union. The purpose of the agreement is to facilitate, on the basis of reciprocity, the issuance of visas for an intended stay of no more than 90 days in any 180-day period. The agreement provides for the following: - the reduction of the visa fee for processing applications to 75% of the amount to be charged in accordance with the applicable domestic (i.e. EUR 60 for Cabo Verdean citizens); for children of at least 12 years of age (but under 18 years of age), the fee is further reduced by 50% compared to the generally applicable amount (i.e. EUR 30 for Cabo Verdean citizens); - simplification of the documents required to justify the purpose of the journey for certain categories of applicants, e.g. business people; spouses, children and parents of Union citizens or Cabo Verdean citizens legally residing in the EU; schoolchildren, students; participants in scientific, cultural, sporting or religious events, journalists and persons travelling for medical reasons; - the modification of the rules on the issuing of multiple-entry visas focusing on the previous lawful use of the visa during a given reference period rather than on the purpose of travel of the applicants; - the exemption from the visa requirement for short stays for holders of a valid EU laissez-passer; - the possibility for the parties to suspend the agreement in whole or in part for any reason deemed appropriate; - the amendment of the general clause of the agreement to ensure that: (i) the facilitation granted to Cabo Verdean citizens would be granted to EU citizens if the visa requirement for stays of up to 30 days re-imposed for their visit to Cabo Verde; (ii) at least the same facilitation are granted to EU citizens applying for a Cabo Verde visa for stays exceeding 30 days but not exceeding 90 days; - the amendment of the Joint Declaration on cooperation on travel documents to include a reference to Cabo Verde’s internal legislation introducing biometric travel documents.",EP9

1040,"""""EU-Montenegro status agreement on actions carried out by the European Border and Coast Guard Agency in Montenegro""""",0.984,0.956,0.068,0.822,0.509,0.935,0.89,0.024,1,0,1,0,"The European Parliament adopted by 568 votes to 109, with 11 abstentions, a legislative resolution on the draft Council decision on the conclusion of the Status Agreement between the European Union and Montenegro on actions carried out by the European Border and Coast Guard Agency in Montenegro. Following the recommendation of the Committee on Civil Liberties, Justice and Home Affairs, the European Parliament gave its consent to the conclusion of the Agreement. The proposed Council Decision aims to approve the Status Agreement between the European Union and Montenegro on actions carried out by the European Border and Coast Guard Agency in Montenegro as foreseen in the Regulation (EU) 2016/1624 on the European Border and Coast Guard. Regulation (EU) 2016/1624 explicitly provides that, in cases where it is envisaged that European Border and Coast Guard teams will be deployed to a third country, in actions where the team members will have executive powers, or where other actions in third countries require it, a status agreement shall be concluded by the Union with the third country concerned. The purpose of the Status Agreement is to provide a legally binding framework that should set out the scope of the operation, the rules on civil and criminal liability, and the tasks and powers of the deployed members of the teams. The status agreements should also guarantee the full respect of fundamental rights and should establish dedicated complaints mechanisms to be used in case of fundamental rights violations during these operations. The Status Agreement with Montenegro is one of several similar agreements concluded with the Western Balkan countries. It would allow for joint operations, rapid border interventions and/or return operations to take place on the territory of Montenegro with the involvement of the Agency. The return operations would relate solely to third country nationals being returned from the European Union to Montenegro.",EP9


8189,"""""Protocol to the EU/Central America Association Agreement (accession of Croatia)""""",1.016,0.956,0.946,0.438,0.544,0.944,0.929,0.488,1,0,0,0,"PURPOSE: to conclude a Protocol to the Agreement establishing an Association between the European Union and its Member States, of the one part, and Central America, of the other part, to take account of the accession of Croatia to the European Union. PROPOSED ACT: Council Decision. ROLE OF THE EUROPEAN PARLIAMENT: the Council may adopt the act only if the European Parliament has given its consent. BACKGROUND: the Agreement establishing an Association between the European Union and its Member States, of the one part, and Central America, of the other part, was signed on 29 June 2012 and has not yet fully entered into force, as some Member States have yet to ratify it. In accordance with the Act of Accession of Croatia, Croatia has undertaken to accede to the existing agreements concluded or signed by the Member States and the European Union with third countries by means of protocols concluded by the Council, acting unanimously on behalf of the Member States, with the third countries concerned. The text of the Protocol to the Association Agreement, which takes into account the accession of Croatia to the European Union, was finalised by both parties on 27 June 2019 in the framework of the Association Committee meeting. CONTENT: the Council's draft aims to approve, on behalf of the European Union, the Protocol to the Agreement establishing an Association between the European Union and its Member States, of the one part, and Central America, of the other part, to take account of the accession of Croatia to the European Union. Through the proposed Protocol, Croatia would be integrated into the Association Agreement with Central America as a party to the Agreement.",EP9


460,"""""EU-Liechtenstein Agreement on the stepping up of cross-border cooperation, particularly in combating terrorism and cross-border crime""""",0.903,0.885,1.0,0.808,0.456,1.009,0.935,0.049,1,0,0,0,"PURPOSE: to conclude an agreement between the European Union and Liechtenstein on the application of certain provisions of Council Decision 2008/615/JHA and Council Decision 2008/616/JHA, as well as Council Framework Decision 2009/905/JHA on combating terrorism and cross-border crime. PROPOSED ACT: Council Decision. ROLE OF THE EUROPEAN PARLIAMENT: Council may adopt the act only if Parliament has given its consent to the act. BACKGROUND: the Prüm Decision (Decision 2008/615/JHA) and the Decision on the implementation of the Prüm Decision (Decision 2008/616/JHA) are intended to improve the exchange of information between the services responsible for the prevention and investigation of criminal offences and to strengthen cross-border police and judicial cooperation between the Member States of the Union. The Prüm Decision contains, inter alia, provisions whereby Member States grant one another, on a mutual basis, access rights to their automated DNA analysis files, automated dactyloscopic identification systems and vehicle registration data. Council Framework Decision 2009/905/JHA on accreditation of forensic service providers carrying out laboratory activities (’the Forensic Decision’) lays down the requirements for the exchange of DNA and fingerprint data, in order to ensure that the results of laboratory activities carried out by accredited forensic service providers in one Member State are recognised by the authorities responsible for the prevention, detection and investigation of criminal offences as being equally reliable as the results of laboratory activities carried out by forensic service providers accredited to EN ISO/IEC 17025 within any other Member State. On 10 June 2016, the Council authorised the Commission to open negotiations with the Principality of Liechtenstein on the application of certain provisions of Council Decision 2008/615/JHA, of Council Decision 2008/616/JHA, and the Annex thereto, and of Council Framework Decision 2009/905/JHA on accreditation of forensic service providers carrying out laboratory activities. The negotiations have been successfully finalised with the both countries by the initialling of the Agreement on 24 May 2018. The possibility for all the Member States to have access to the national databases of the Swiss Confederation and the Principality of Lichtenstein, regarding the DNA, dactyloscopic and vehicle registration data, and the other way around, is undoubtedly of central importance in order to foster and encourage the cross-border police cooperation. CONTENT: the draft Council Decision concerns the approval, on behalf of the Union, of the Agreement between the European Union and Liechtenstein for the application of some of the provisions of the Prüm Decision, the Prüm Implementing Decision and the Forensic Decision that shall become applicable to the Principality of Liechtenstein after entry into force of the Agreement. This international agreement between the EU and Liechtenstein aims to improve and simplify the automated exchange of information and intelligence between law enforcement authorities of the Member States and this associated country, in order to stimulate international police cooperation. The Agreement lists the provisions of the Prüm Decision, the Prüm Implementing Decision and the Forensic Decision that shall become applicable to the Principality of Liechtenstein after entry into force of the Agreement. The Agreement also sets the provisions for uniform application, dispute settlement, amendments, notifications and declarations. The contracting Parties agree to carry out common review of the agreement no later than five years after its entry into force. The Agreement is concluded for an indefinite period whilst one of the Contracting Parties can terminate the Agreement at any time. The United Kingdom and Ireland shall participate in the adoption and implementation of this Decision. Denmark is not taking part in the adoption of the Decision and is not bound by it or subject to its application.",EP9


9988,"""""Erasmus': the Union programme for education, training, youth and sport""""",0.529,0.792,0.92,0.5,0.115,0.866,0.775,0.635,0,0,0,0,"PURPOSE: to establish the Erasmus programme for education, training, youth and sport for the period 2021-2027. PROPOSED ACT: Regulation of the European Parliament and of the Council. ROLE OF THE EUROPEAN PARLIAMENT: the European Parliament decides in accordance with the ordinary legislative procedure and on an equal footing with the Council. BACKGROUND: the Erasmus programme already enables millions of young Europeans to study, train or learn abroad while broadening their experience and awareness of Europe, and increasing their future chances on the labour market. It is one of the Union's most visible achievements. In its Communication adopted on 2 May 2018, the Commission proposed to put more emphasis on youth in the context of the next multiannual financial framework, notably by doubling the size of the Erasmus+ programme 2014-2020. The resolution adopted by the European Parliament on 14 September 2017 stressed that the future programme should aim to be accessible to all young people and that these higher ambitions should be reflected in an increase in the budget for the next programming period. In a context of rapid and profound changes induced by technological revolution and globalisation, the Commission considers it essential to invest in learning mobility and exchanges within the framework of a significantly reinforced, inclusive and extended programme. The ambition for the next programme goes hand in hand with the Commission's vision to work towards a European Education Area by 2025 empowering young people and promoting a European identity through youth, education and culture policies. The programme is one of the funding instruments under the 2021-2027 multiannual financial framework aiming at investing in people, social cohesion and values. CONTENT: the proposed Regulation - presented for a Union of 27 Member States - seeks to establish the Erasmus programme for education, training, youth and sport for the period 2021-2027 which will succeed the Erasmus+ 2014-2020 programme established by Regulation (EU) No 1288/2013 of the European Parliament and the Council. It lays down the objectives of the programme, the budget for the period 2021-2027, the forms of Union funding and the rules for providing such funding. The programme aims to support learning mobility opportunities that contribute to the personal, educational, civic and professional development of individuals. It shall also support cooperation between stakeholders at organisational and policy level with a view to foster inclusion, excellence, creativity and innovation in education, training, youth and sport. Objectives : in particular, the proposed new programme shall: be accessible to a larger number of people : the programme shall support all categories of learners, whether they are in higher education, general education, vocational education or training, adult education, non-formal learning, youth and active participation activities. The goal is to triple the number of participants; a broader focus on people from all social backgrounds : the programme shall further facilitate the participation of people with fewer opportunities, including people with disabilities and migrants, as well as EU citizens living in remote areas. Mobility opportunities for students, people in vocational training, apprentices and young people should be extended; help Europeans to acquire new skills : the programme shall support activities to equip citizens with the necessary knowledge, skills and competences, including language skills, in a lifelong learning perspective. It shall pay greater attention to digital skills and future-oriented areas such as climate change, clean energy, artificial intelligence, robotics, data analysis, arts/design, etc. address a wider target group both within and beyond the EU : mobility and cooperation with third countries shall be enhanced through a combination of physical and virtual mobility and the use of more flexible learning mobility formats to meet the needs of certain target groups, such as adult learners. The programme shall also facilitate the participation of small scale and grassroots organisations; promote a European identity : the programme shall encourage youth participation in Europe’s democratic life by raising awareness about common European values, including fundamental rights, bringing together young people and decision-makers at local, national and EU level and contribute to the European integration process. A new initiative called DiscoverEU shall give young people the opportunity to discover other EU countries. The programme would also contribute to promoting common European values through sport, good governance and integrity in sport; strengthen the Union's relations with the rest of the world : intensify international mobility and cooperation with third countries - in particular enlargement, neighbourhood, industrialised and emerging countries - in order to support institutions and organisations in Europe in facing the challenges of globalisation. Key actions : the proposal defines specific objectives for each of the three action areas of the programme (education and training, youth and sport). Each of these three areas would be structured around three key actions: ‘learning mobility’ (key action 1); ‘cooperation among organisations and institutions’ (key action 2) and ‘support to policy development and cooperation’ (key action 3). In order to simplify requirements for beneficiaries, it is proposed to use simplified grants in the form of lump-sums, unit-costs and flat-rate funding should be used to the maximum possible extent. The future Erasmus monitoring and evaluation framework shall follow an approach based on continuous monitoring to assess the progress towards achieving the output and results targets of the programme. Proposed budget : EUR 30 billion for the period 2021-2027, according to the following indicative breakdown: EUR 24.94 billion for actions in the field of education and training; EUR 3.10 billion for actions in the youth field; EUR 550 million for actions in the field of sport; and at least EUR 960 million as a contribution to the operating costs of the national agencies.",EP8


