Vote ID,File,Order of vote,Date,Title,Procedure,Leg/Non-Leg/Bud,Type of Vote,Voting Rule,Rapporteur,Code,Interinstitutional file number,Link,Committee responsabile,De,Subject,Final vote?,Am No.,Author,RCV,Vote,Yeas,No,Abs,ECR,EFD/IDG,EPP,Greens/EFA,NI,REG,S&D,The Left,ECR%,EFD/IDG%,EPP%,Greens/EFA%,NI%,REG%,S&D%,The Left%,General Majority,Right Majority,Left Majority,Consensus
393,24.0,1,2010-02-11 00:00:00,Amendment of Council Regulation (EC) No 1085/2006 of 17 July 2006 establishing an Instrument for Pre-Accession Assistance (IPA),***I,Leg,Draft legislative resolution,s,ALBERTINI ,A7-0003/2010,2009/0163/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0003&language=EN,Committee on Foreign Affairs,Foreign & security policy,single vote,1.0,,0,RCV,+,578,22,9,34.0,13.0,213.0,53.0,5.0,72.0,165.0,23.0,0.596,0.419,0.78,0.93,0.152,0.867,0.846,0.657,1,0,0,0
395,24.0,1,2010-02-11 00:00:00,Community Programme for Employment and Social Solidarity - Progress,***I,Leg,Draft legislative resolution,s,GÖNCZ,A7-0049/2009,2009/0091/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0049&language=EN,Committee on Employment and Social Affairs,Employment & social affairs,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,511,95,11,35.0,10.0,220.0,1.0,8.0,71.0,166.0,0.0,0.614,0.323,0.806,0.018,0.242,0.855,0.851,0.0,1,0,0,0
439,27.0,1,2010-03-09 00:00:00,Animal health requirements applicable to the non-commercial movement of pet animals,***I,Leg,Draft legislative resolution,s,DE BRÚN ,A7-0082/2010,2009/0077/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0082&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,618,17,5,47.0,16.0,230.0,51.0,11.0,76.0,160.0,27.0,0.825,0.516,0.842,0.895,0.333,0.916,0.821,0.771,1,0,0,0
440,27.0,1,2010-03-09 00:00:00,Movement of persons with a long-stay visa,***I,Leg,Draft legislative resolution,s,COELHO,A7-0015/2010,2009/0028/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0015&language=EN,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",vote: legislative resolution (text as a whole)  ,1.0,,0,RCV,+,562,29,51,25.0,6.0,218.0,49.0,5.0,78.0,156.0,25.0,0.439,0.194,0.799,0.86,0.152,0.94,0.8,0.714,1,0,0,0
443,28.0,1,2010-03-10 00:00:00,"Annual accounts of certain types of companies as regards micro-entities
",***I,Leg,Draft legislative resolution,s, LEHNE ,A7-0011/2010,2009/0035/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0011&language=EN,"Committee on Legal Affairs
",Juridical affairs,vote: resolution (text as a whole)  ,1.0,,0,RCV,+,445,196,21,49.0,23.0,213.0,46.0,16.0,58.0,40.0,0.0,0.86,0.742,0.78,0.807,0.485,0.699,0.205,0.0,0,1,0,0
513,30.0,1,2010-03-25 00:00:00,"A list of third countries, or parts of third countries, and animal and public health and veterinary certification conditions for importation into the Community of certain live animals and their fresh meat",***I,Leg,Draft legislative resolution,s,Jo Leinen ,A7-0018/2010,2009/0146/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0018&language=EN,"Committee on the Environment, Public Health and Food Safety
",Environment & public health,single vote,1.0,,0,RCV,+,533,9,16,32.0,12.0,207.0,33.0,12.0,62.0,149.0,26.0,0.561,0.387,0.758,0.579,0.364,0.747,0.764,0.743,1,0,0,0
555,31.0,1,2010-05-05 00:00:00,Transportable pressure equipment,***I,Leg,Draft legislative resolution,s,Simpson ,A7-0101/2010,2009/0131/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0101&language=EN,Committee on Transport and Tourism,Transport & tourism,vote: legislative resolution ,1.0,,0,RCV,+,602,1,15,37.0,19.0,233.0,39.0,11.0,75.0,166.0,22.0,0.649,0.613,0.853,0.684,0.333,0.904,0.851,0.629,1,0,0,0
616,32.0,1,2010-05-06 00:00:00,Decision not to convene a Convention for the revision of the Treaties with regard to transitional measures concerning the composition of the European Parliament,***,Leg,Draft decision,s,de Vigo,A7-0116/2010,2009/0814/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0116&language=EN,Committee on Constitutional Affairs,Constitutional and inter-institutional Affairs,vote: decision (as a whole),1.0,,0,RCV,+,499,94,4,35.0,14.0,224.0,0.0,6.0,68.0,151.0,1.0,0.614,0.452,0.821,0.0,0.182,0.819,0.774,0.029,1,0,0,0
628,33.0,1,2010-05-18 00:00:00,European Refugee Fund for the period 2008 to 2013 (amendment of Decision No 573/2007/EC) ,***I,Leg,Draft legislative resolution,s,TAVARES,A7-0125/2010,2009/0127/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0125&language=EN,"Committee on Civil Liberties, Justice and Home Affairs
","Civil liberties, justice & home affairs",single vote,1.0,,0,RCV,+,512,81,7,3.0,2.0,206.0,42.0,5.0,70.0,158.0,26.0,0.053,0.065,0.755,0.737,0.152,0.843,0.81,0.743,1,0,0,0
633,33.0,1,2010-05-18 00:00:00,Textile names and related labelling of textile products,***I,Leg,Draft legislative resolution,s,MANDERS,A7-0122/2010 ,2009/0006/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0122&language=EN,"Committee on the Internal Market and Consumer Protection
",Internal market & consumer protection,  Vote: legislative resolution  ,1.0,,0,RCV,+,528,18,108,3.0,14.0,241.0,2.0,12.0,70.0,164.0,22.0,0.053,0.452,0.883,0.035,0.364,0.843,0.841,0.629,1,0,0,0
634,33.0,1,2010-05-18 00:00:00,Macro-financial assistance for Ukraine,***I,Leg,Draft legislative resolution,s,MOREIRA,A7-0058/2010 ,2009/0162/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0058&language=EN,"Committee on International Trade
",International trade,  Vote: legislative resolution  ,1.0,,0,RCV,+,604,37,16,38.0,10.0,241.0,50.0,14.0,75.0,165.0,11.0,0.667,0.323,0.883,0.877,0.424,0.904,0.846,0.314,1,0,0,0
635,33.0,1,2010-05-18 00:00:00,Specific measures for agriculture in the outermost regions of the Union (amendment of Regulation (EC) No 247/2006) ,***I ,Leg,Draft legislative resolution,s,ALVES,A7-0054/2010 ,2009/0138/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0054&language=EN,Committee on Agriculture and Rural Development,Agriculture,  Vote: legislative resolution  ,1.0,,0,RCV,+,592,53,12,37.0,19.0,238.0,48.0,12.0,75.0,161.0,2.0,0.649,0.613,0.872,0.842,0.364,0.904,0.826,0.057,1,0,0,0
643,34.0,1,2010-05-19 00:00:00,Standards of quality and safety of human organs intended for transplantation,***I,Leg,Draft legislative resolution,s,MIKOLÁŠIK,A7-0106/2010 ,2008/0238/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0106&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,vote: legislative resolution ,1.0,,0,RCV,+,643,16,8,44.0,19.0,241.0,50.0,15.0,78.0,169.0,27.0,0.772,0.613,0.883,0.877,0.455,0.94,0.867,0.771,1,0,0,0
678,36.0,1,2010-06-15 00:00:00,EU financial contributions to the International Fund for Ireland (2007-2010),***I,Leg,Draft legislative resolution,s,KELLY,A7-0190/2010,2010/0004/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0190&language=EN,"Committee on Regional Development
",Regional development,single vote,1.0,,0,RCV,+,630,9,25,37.0,17.0,237.0,52.0,11.0,73.0,173.0,30.0,0.649,0.548,0.868,0.912,0.333,0.88,0.887,0.857,1,0,0,0
709,36.0,1,2010-06-16 00:00:00,Joint Baltic Sea Research and Development Programme (BONUS-169),***I,Leg,Draft legislative resolution,s,EK,A7-0164/2010,2009/0169/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0164&language=EN,"Committee on Industry, Research and Energy","Industry, research & energy",single vote,1.0,,0,RCV,+,630,14,6,40.0,20.0,234.0,51.0,15.0,70.0,170.0,30.0,0.702,0.645,0.857,0.895,0.455,0.843,0.872,0.857,1,0,0,0
710,36.0,1,2010-06-16 00:00:00,Structures for the management of the European satellite radio navigation programmes,***I,Leg,Draft legislative resolution,s,TOŠENOVSKÝ,A7-0160/2010,2009/0047/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0160&language=EN,"Committee on Industry, Research and Energy","Industry, research & energy",single vote,1.0,,0,RCV,+,623,36,6,41.0,20.0,243.0,50.0,14.0,72.0,171.0,12.0,0.719,0.645,0.89,0.877,0.424,0.867,0.877,0.343,1,0,0,0
711,36.0,1,2010-06-16 00:00:00,European Earth observation programme (GMES) (2011–2013),***I,Leg,Draft legislative resolution,s,GLANTE,A7-0161/2010,2009/0070/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0161&language=EN,"Committee on Industry, Research and Energy","Industry, research & energy",single vote,1.0,,0,RCV,+,624,33,12,40.0,19.0,244.0,53.0,13.0,74.0,171.0,10.0,0.702,0.613,0.894,0.93,0.394,0.892,0.877,0.286,1,0,0,0
712,36.0,1,2010-06-16 00:00:00,Authorising enhanced cooperation procedure regarding the law applicable to divorce and legal separation,***,Leg,Draft resolution,s,ZWIEFKA,A7-0194/2010,2010/0066/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0194&language=EN,Committee on Legal Affairs,Juridical Affairs,single vote,1.0,,0,RCV,+,615,30,33,38.0,17.0,234.0,50.0,9.0,72.0,177.0,18.0,0.667,0.548,0.857,0.877,0.273,0.867,0.908,0.514,1,0,0,0
716,36.0,1,2010-06-16 00:00:00,Rights to interpretation and translation in criminal proceedings,***I,Leg,Draft legislative resolution,s,LUDFORD,A7-0198/2010,2010/0801/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0198&language=EN,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",  Vote: legislative resolution  ,1.0,,0,RCV,+,637,21,19,36.0,15.0,246.0,52.0,9.0,75.0,175.0,29.0,0.632,0.484,0.901,0.912,0.273,0.904,0.897,0.829,1,0,0,0
753,37.0,1,17.06.2010,Securities to be offered to the public and harmonisation of transparency requirements (amendment of Directives 2003/71/EC and 2004/109/EC),***I,Leg,Draft legislative resolution,s,KLINZ ,A7-0102/2010 ,2009/0132/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0102&language=EN,Committee on Economic and Monetary Affairs,Economic & monetary affairs,  Vote: legislative resolution  ,1.0,,0,RCV,+,464,41,57,36.0,8.0,199.0,3.0,9.0,59.0,150.0,0.0,0.632,0.258,0.729,0.053,0.273,0.711,0.769,0.0,1,0,0,0
754,37.0,1,17.06.2010,A catch documentation programme for bluefin tuna (thunnus thynnus),***I,Leg,Draft legislative resolution,s,ROMEVA i RUEDA ,A7-0119/2010 ,2009/0116/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0119&language=EN,Committee on Fisheries,Fisheries,  Vote: legislative resolution  ,1.0,,0,RCV,+,564,9,5,33.0,17.0,206.0,46.0,18.0,61.0,153.0,30.0,0.579,0.548,0.755,0.807,0.545,0.735,0.785,0.857,1,0,0,0
796,38.0,1,2010-07-06 00:00:00,Reporting formalities for ships arriving in or departing from ports,***I,Leg,Draft legislative resolution,s,STERCKX,A7-0064/2010 ,2009/0005/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0064&language=EN,Committee on Transport and Tourism,Transport & tourism,  Vote: legislative resolution  ,1.0,,0,RCV,+,640,20,19,47.0,13.0,239.0,50.0,13.0,77.0,175.0,26.0,0.825,0.419,0.875,0.877,0.394,0.928,0.897,0.743,1,0,0,0
816,39.0,1,2010-07-07 00:00:00,Industrial emissions (integrated pollution prevention and control) (recast),***II,Leg,Recommendation for second reading: draft legislative resolution,q,KRAHMER ,A7-0145/2010,2007/0286/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0145&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Text as a whole block 1 -
compromise  ",0.0,77,"ALDE, PPE, S&D, Greens/EFA, ECR, EFD",RCV,+,639,35,10,36.0,18.0,243.0,46.0,14.0,77.0,172.0,33.0,0.632,0.581,0.89,0.807,0.424,0.928,0.882,0.943,1,0,0,0
817,39.0,1,2010-07-07 00:00:00,Obligations of operators who place timber and timber products on the market,***II,Leg,Recommendation for second reading: draft legislative resolution,q,HASSI,A7-0149/2010 ,2008/0198/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0149&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,"Text as a whole block 1 -
compromise  ",0.0,94,"Greens/EFA, PPE, S&D, ALDE, ECR, GUE/NGL",RCV,+,644,25,16,45.0,18.0,238.0,48.0,12.0,77.0,177.0,29.0,0.789,0.581,0.872,0.842,0.364,0.928,0.908,0.829,1,0,0,0
827,39.0,1,2010-07-07 00:00:00,"Capital requirements for the trading book and for re-securitisations, and the supervisory review of remuneration policies",***I,Leg,Draft legislative resolution,s,McCARTHY,A7-0205/2010 ,2009/0099/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0205&language=EN,Committee on Economic and Monetary Affairs,Economic & monetary affairs,Vote: legislative resolution  ,1.0,,0,RCV,+,625,28,37,39.0,17.0,247.0,48.0,18.0,76.0,178.0,2.0,0.684,0.548,0.905,0.842,0.545,0.916,0.913,0.057,1,0,0,0
843,40.0,1,2010-07-08 00:00:00,Agreement between the EU and the USA on the processing and transfer of financial messaging data from the EU to the USA for purposes of the Terrorist Finance Tracking Program,***,Leg,Draft legislative resolution,s,ALVARO,A7-0224/2010 ,2010/0178/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0224&language=EN,"Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",  Vote: legislative resolution  ,1.0,,0,RCV,+,484,109,12,35.0,14.0,215.0,1.0,9.0,63.0,147.0,0.0,0.614,0.452,0.788,0.018,0.273,0.759,0.754,0.0,1,0,0,0
872,41.0,1,2010-09-07 00:00:00,Freedom of movement for workers within the Union ,***I,Leg,Draft legislative resolution,s,DE OEDENBERG ,A7-0222/2010 ,2010/0110/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0222&language=EN,"Committee on Legal Affairs
",Juridical Affairs,single vote,1.0,,0,RCV,+,565,10,19,34.0,14.0,222.0,37.0,7.0,69.0,159.0,23.0,0.596,0.452,0.813,0.649,0.212,0.831,0.815,0.657,1,0,0,0
873,41.0,1,2010-09-07 00:00:00,Authentication of euro coins and handling of euro coins unfit for circulation,***I,Leg,Draft legislative resolution,s,BINEV,A7-0212/2010 ,2009/0128/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0212&language=EN,"Committee on Economic and Monetary Affairs
",Economic & monetary affairs,single vote,1.0,,0,RCV,+,605,5,16,41.0,17.0,228.0,42.0,18.0,71.0,162.0,26.0,0.719,0.548,0.835,0.737,0.545,0.855,0.831,0.743,1,0,0,0
874,41.0,1,2010-09-07 00:00:00,Macro-financial assistance for the Republic of Moldova,***I,Leg,Draft legislative resolution,s,WINKLER,A7-0242/2010 ,2010/0162/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0242&language=EN,"Committee on International Trade
",International trade,single vote,1.0,,0,RCV,+,590,26,29,41.0,8.0,233.0,46.0,4.0,73.0,165.0,20.0,0.719,0.258,0.853,0.807,0.121,0.88,0.846,0.571,1,0,0,0
909,44.0,1,2010-09-21 00:00:00,Security of gas supply,***I,Leg,Draft legislative resolution,s,VIDAL-QUADRAS ,A7-0112/2010 ,2009/0108/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0112&language=EN,"Committee on Industry, Research and Energy","Industry, research & energy",Vote: legislative resolution  ,1.0,,0,RCV,+,601,27,23,49.0,19.0,234.0,50.0,8.0,68.0,168.0,5.0,0.86,0.613,0.857,0.877,0.242,0.819,0.862,0.143,1,0,0,0
914,45.0,1,2010-09-22 00:00:00,Pharmacovigilance of medicinal products (amendment of Regulation (EC) No 726/2004),***I,Leg,Draft legislative resolution,s,McAVAN,A7-0153/2010 ,2010/0205/CNS,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0153&language=EN,"Committee on the Environment, Public Health and Food Safety",Environment & public health,Vote: legislative resolution  ,1.0,,0,RCV,+,559,7,12,43.0,16.0,223.0,35.0,15.0,64.0,140.0,23.0,0.754,0.516,0.817,0.614,0.455,0.771,0.718,0.657,1,0,0,0
937,45.0,1,2010-09-22 00:00:00,Specific tasks for the European Central Bank concerning the functioning of the European Systemic Risk Board,***I,Leg,Draft legislative resolution,s,TREMOSA i BALCELLS ,A7-0167/2010 ,2009/0141/CNS,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0167&language=EN,Committee on Economic and Monetary Affairs,Economic & monetary affairs,vote: legislative resolution ,1.0,,0,RCV,+,587,22,52,37.0,8.0,242.0,50.0,11.0,74.0,164.0,1.0,0.649,0.258,0.886,0.877,0.333,0.892,0.841,0.029,1,0,0,0
961,46.0,1,2010-10-07 00:00:00,Third countries whose nationals must be in possession of visas when crossing the external borders of Member States,***I,Leg,Draft legislative resolution,s,FAJON,A7-0256/2010,2010/0137/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0256&language=EN,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",vote: legislative resolution ,1.0,,0,RCV,+,538,47,41,21.0,2.0,222.0,44.0,4.0,72.0,153.0,20.0,0.368,0.065,0.813,0.772,0.121,0.867,0.785,0.571,1,0,0,0
975,47.0,1,2010-10-19 00:00:00,Statistical returns in respect of carriage of goods and passengers by sea,***I,Leg,Draft legislative resolution,s,SIMPSON ,A7-0217/2010,2010/0041/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0217&language=EN,Committee on Transport and Tourism,Transport & tourism,single vote,1.0,,0,RCV,+,580,20,8,33.0,10.0,223.0,49.0,10.0,70.0,160.0,25.0,0.579,0.323,0.817,0.86,0.303,0.843,0.821,0.714,1,0,0,0
980,47.0,1,2010-10-19 00:00:00,Scheme of control and enforcement applicable in the area covered by the Convention on future multilateral cooperation in the North-East Atlantic fisheries,***I,Leg,Draft legislative resolution,s,Fraga Estévez ,A7-0260/2010 ,2009/0051/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0260&language=EN,Committee on Fisheries,Fisheries,single vote,1.0,,0,RCV,+,636,21,5,41.0,19.0,238.0,52.0,12.0,76.0,171.0,27.0,0.719,0.613,0.872,0.912,0.364,0.916,0.877,0.771,1,0,0,0
981,48.0,1,2010-10-20 00:00:00,Financial Regulation applicable to the general budget of the European Communities as regards the European External Action Service,***I,Leg,Draft legislative resolution,s,"Gräßle,Rivellini",A7-0263/2010,2010/0054/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0263&language=EN,Committee on Budgets,Budget,vote: legislative resolution ,1.0,,0,RCV,+,578,39,28,39.0,13.0,227.0,43.0,5.0,77.0,167.0,7.0,0.684,0.419,0.832,0.754,0.152,0.928,0.856,0.2,1,0,0,0
982,48.0,1,2010-10-20 00:00:00,Amendment of the Staff Regulations of Officials of the European Communities and the Conditions of Employment of Other Servants of those Communities,***I,Leg,Draft legislative resolution,s,Rapkay ,A7-0288/2010,2010/0171/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0288&language=EN,Committee on Legal Affairs,Juridical Affairs,vote: legislative resolution ,1.0,,0,RCV,+,513,51,98,30.0,10.0,179.0,47.0,5.0,75.0,166.0,1.0,0.526,0.323,0.656,0.825,0.152,0.904,0.851,0.029,0,0,1,0
1066,48.0,1,2010-10-20 00:00:00,Combating late payment in commercial transactions,***I,Leg,Draft legislative resolution,s,Weiler ,A7-0136/2010 ,2009/0054/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2010-0136&language=EN,Committee on the Internal Market and Consumer Protection,Internal market & consumer protection,vote: legislative resolution ,1.0,,0,RCV,+,612,12,21,40.0,20.0,234.0,49.0,12.0,78.0,159.0,20.0,0.702,0.645,0.857,0.86,0.364,0.94,0.815,0.571,1,0,0,0
